case_id,regime_id,regime_name,rate_center_deg_s,tau_actuator_ms,tau_sensor_ms,processing_delay_ms,aero_scale,thrust_scale,rms_theta_residual_deg,rms_rate_residual_deg_s,phase_lag_divergence_ms,aero_only_residual_deg,delay_only_residual_deg,actuator_only_residual_deg,sensor_only_residual_deg,processing_only_residual_deg,unstable_truth,delay_perturbed,aero_perturbed,comparison_valid,effect_margin_deg,effect_ratio,unstable_pred_nominal,stability_mismatch,dominant_source,control_limitation_regime,cp_ahead_share_truth,mean_static_margin_cal_truth,mean_abs_alpha_deg_truth,aero_model_required
1,1,LOW_RATE,40,8,3,1,0.85,0.9,0.123542169446754,2.80080659786947,8,0.123542169446754,0.00492801737477942,NaN,NaN,NaN,0,0,1,0,-0.118614152071975,0.0398893543544527,0,0,UNMATCHED,UNMATCHED,0,0.400000000000004,92.5792999216111,0
1,2,MID_RATE,130,8,3,1,0.85,0.9,0.759952303656481,11.8938015836772,22,0.759952303656481,0.021905680301343,NaN,NaN,NaN,0,0,1,0,-0.738046623355138,0.0288250725682977,0,0,UNMATCHED,UNMATCHED,0,0.400000000000004,97.1934243426451,0
1,3,HIGH_RATE,250,8,3,1,0.85,0.9,4.37389069984537,42.4818226399805,52,4.37389069984537,0.123232135517489,NaN,NaN,NaN,0,0,1,0,-4.25065856432788,0.0281744890245762,0,0,UNMATCHED,UNMATCHED,0,0.400000000000004,104.497475202233,0
2,1,LOW_RATE,40,25,3,1,0.85,0.9,0.817584571132205,15.6565968305965,20,0.123542169446754,0.694490901370678,NaN,NaN,NaN,0,1,1,1,0.570948731923924,5.62148863404895,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,92.409546611527,0
2,2,MID_RATE,130,25,3,1,0.85,0.9,3.04858566786754,37.2916613828544,50,0.759952303656481,2.25976096169069,NaN,NaN,NaN,0,1,1,1,1.49980865803421,2.97355630191256,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,97.1444035746604,0
2,3,HIGH_RATE,250,25,3,1,0.85,0.9,11.7590687397919,91.3375421686667,96,4.37389069984537,7.27527803037932,NaN,NaN,NaN,0,1,1,1,2.90138733053396,1.66334244032128,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,0.400000000000004,104.557439639711,0
3,1,LOW_RATE,40,8,15,1,0.85,0.9,0.45191457028332,9.73447903957674,6,0.123542169446754,0.37947105940629,NaN,NaN,NaN,0,1,1,1,0.255928889959536,3.07159135302249,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,92.2528093932398,0
3,2,MID_RATE,130,8,15,1,0.85,0.9,1.64945860662096,24.4088903584777,26,0.759952303656481,1.05997490679536,NaN,NaN,NaN,0,1,1,1,0.300022603138882,1.39479135953051,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,0.400000000000004,96.7831838880384,0
3,3,HIGH_RATE,250,8,15,1,0.85,0.9,7.60787973422906,67.9280223467254,64,4.37389069984537,3.72650500877764,NaN,NaN,NaN,0,1,1,1,-0.647385691067727,0.851988598825614,0,0,AERO,MIXED_INTERACTION_LIMITED,0,0.400000000000004,104.067865499732,0
4,1,LOW_RATE,40,25,15,1,0.85,0.9,3.13715313124996,50.1922502157348,486,0.123542169446754,2.94640390252608,NaN,NaN,NaN,0,1,1,1,2.82286173307933,23.8493780360233,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,92.1420170456493,0
4,2,MID_RATE,130,25,15,1,0.85,0.9,7.27884397373435,78.1268344330135,46,0.759952303656481,6.00108561727873,NaN,NaN,NaN,0,1,1,1,5.24113331362225,7.89666086727383,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,96.7594758894421,0
4,3,HIGH_RATE,250,25,15,1,0.85,0.9,20.7612980228812,139.024252443827,98,4.37389069984537,14.6429115387533,NaN,NaN,NaN,0,1,1,1,10.2690208389079,3.34780005802864,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,103.741565363013,0
5,1,LOW_RATE,40,8,3,6,0.85,0.9,0.149318277485646,3.64730030906234,8,0.123542169446754,0.0593011951296522,NaN,NaN,NaN,0,1,1,1,-0.064240974317102,0.480007720401985,0,0,AERO,AERO_LIMITED,0,0.400000000000004,92.5318816476244,0
5,2,MID_RATE,130,8,3,6,0.85,0.9,0.864836958360097,13.9957708917345,24,0.759952303656481,0.190699361766483,NaN,NaN,NaN,0,1,1,1,-0.569252941889998,0.250935961176696,0,0,AERO,AERO_LIMITED,0,0.400000000000004,97.1001790571738,0
5,3,HIGH_RATE,250,8,3,6,0.85,0.9,4.90307023673575,47.2311306339034,54,4.37389069984537,0.710241969332853,NaN,NaN,NaN,0,1,1,1,-3.66364873051251,0.162382194268815,0,0,AERO,AERO_LIMITED,0,0.400000000000004,104.381200872712,0
6,1,LOW_RATE,40,25,3,6,0.85,0.9,0.950112909862749,17.738942855512,404,0.123542169446754,0.834374941102687,NaN,NaN,NaN,0,1,1,1,0.710832771655933,6.75376630375831,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,92.3598792732352,0
6,2,MID_RATE,130,25,3,6,0.85,0.9,3.39596906572762,40.8236928809349,50,0.759952303656481,2.5912648710557,NaN,NaN,NaN,0,1,1,1,1.83131256739922,3.40977303258104,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,97.0716983692206,0
6,3,HIGH_RATE,250,25,3,6,0.85,0.9,12.6275177258849,96.9201488386968,96,4.37389069984537,8.08237355917377,NaN,NaN,NaN,0,1,1,1,3.70848285932841,1.84786820563658,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,0.400000000000004,104.47675569728,0
7,1,LOW_RATE,40,8,15,6,0.85,0.9,0.564303543827968,11.6799309798787,4,0.123542169446754,0.50316515517881,NaN,NaN,NaN,0,1,1,1,0.379622985732056,4.07282110579798,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,92.19847033145,0
7,2,MID_RATE,130,8,15,6,0.85,0.9,1.95204688845027,27.7600054075277,26,0.759952303656481,1.40288821495398,NaN,NaN,NaN,0,1,1,1,0.642935911297504,1.84602139924314,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,0.400000000000004,96.7064783048902,0
7,3,HIGH_RATE,250,8,15,6,0.85,0.9,8.68235032424165,75.1439519863197,66,4.37389069984537,4.64551568099639,NaN,NaN,NaN,0,1,1,1,0.271624981151025,1.06210145606991,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,0.400000000000004,103.935010738559,0
8,1,LOW_RATE,40,25,15,6,0.85,0.9,4.56408259337736,62.9915740152513,502,0.123542169446754,4.24556892742554,NaN,NaN,NaN,0,1,1,1,4.12202675797879,34.3653421858951,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,92.2174497135923,0
8,2,MID_RATE,130,25,15,6,0.85,0.9,9.01434245759365,89.1429869596854,46,0.759952303656481,7.50368817749077,NaN,NaN,NaN,0,1,1,1,6.74373587383429,9.87389358698838,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,96.4904827067578,0
8,3,HIGH_RATE,250,25,15,6,0.85,0.9,22.9916801462043,145.197730305046,98,4.37389069984537,16.5676722877683,NaN,NaN,NaN,0,1,1,1,12.1937815879229,3.7878569504158,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,104.385992418403,0
9,1,LOW_RATE,40,8,3,1,1,0.9,0.118486628125344,2.7855940395896,8,0.118486628125344,0.00492801737477942,NaN,NaN,NaN,0,0,1,0,-0.113558610750565,0.0415913377969216,0,0,UNMATCHED,UNMATCHED,0,1.2,93.3574534609831,0
9,2,MID_RATE,130,8,3,1,1,0.9,0.746732626909528,11.6657634290499,22,0.746732626909528,0.021905680301343,NaN,NaN,NaN,0,0,1,0,-0.724826946608185,0.0293353732138412,0,0,UNMATCHED,UNMATCHED,0,1.2,97.9372006877826,0
9,3,HIGH_RATE,250,8,3,1,1,0.9,4.04373127795734,39.5305912677622,50,4.04373127795734,0.123232135517489,NaN,NaN,NaN,0,0,1,0,-3.92049914243985,0.0304748577605134,0,0,UNMATCHED,UNMATCHED,0,1.2,105.395801945066,0
10,1,LOW_RATE,40,25,3,1,1,0.9,0.813940663637497,15.6204403547356,20,0.118486628125344,0.694490901370678,NaN,NaN,NaN,0,1,1,1,0.576004273245334,5.86134412261266,0,0,DELAY,DELAY_LIMITED,0,1.2,93.1956975846395,0
10,2,MID_RATE,130,25,3,1,1,0.9,2.99941109702869,36.8831174271435,50,0.746732626909528,2.25976096169069,NaN,NaN,NaN,0,1,1,1,1.51302833478117,3.02619824051759,0,0,DELAY,DELAY_LIMITED,0,1.2,97.9583885561247,0
10,3,HIGH_RATE,250,25,3,1,1,0.9,10.9092278448632,86.8094414700826,96,4.04373127795734,7.27527803037932,NaN,NaN,NaN,0,1,1,1,3.23154675242198,1.79914972838017,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,1.2,105.875797479805,0
11,1,LOW_RATE,40,8,15,1,1,0.9,0.449119452600902,9.70926417060199,4,0.118486628125344,0.37947105940629,NaN,NaN,NaN,0,1,1,1,0.260984431280946,3.20264881708725,0,0,DELAY,DELAY_LIMITED,0,1.2,93.0364941566151,0
11,2,MID_RATE,130,8,15,1,1,0.9,1.62069919923038,24.1566024484294,26,0.746732626909528,1.05997490679536,NaN,NaN,NaN,0,1,1,1,0.313242279885835,1.41948385352096,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,1.2,97.5521898278428,0
11,3,HIGH_RATE,250,8,15,1,1,0.9,7.03615167978542,64.3195578597736,62,4.04373127795734,3.72650500877764,NaN,NaN,NaN,0,1,1,1,-0.3172262691797,0.921551100363933,0,0,AERO,MIXED_INTERACTION_LIMITED,0,1.2,105.155529696484,0
12,1,LOW_RATE,40,25,15,1,1,0.9,3.03622619666971,49.1186758164313,486,0.118486628125344,2.94640390252608,NaN,NaN,NaN,0,1,1,1,2.82791727440074,24.8669740133811,0,0,DELAY,DELAY_LIMITED,0,1.2,93.1296730251037,0
12,2,MID_RATE,130,25,15,1,1,0.9,6.91443960185402,75.2924729314728,46,0.746732626909528,6.00108561727873,NaN,NaN,NaN,0,1,1,1,5.25435299036921,8.03645829982705,0,0,DELAY,DELAY_LIMITED,0,1.2,97.969432454549,0
12,3,HIGH_RATE,250,25,15,1,1,0.9,18.6063672175951,130.41406127222,98,4.04373127795734,14.6429115387533,NaN,NaN,NaN,0,1,1,1,10.5991802607959,3.62113862970391,0,0,DELAY,DELAY_LIMITED,0,1.2,105.250216353816,0
13,1,LOW_RATE,40,8,3,6,1,0.9,0.14515613312707,3.62829951322462,8,0.118486628125344,0.0593011951296522,NaN,NaN,NaN,0,1,1,1,-0.0591854329956918,0.50048850294667,0,0,AERO,AERO_LIMITED,0,1.2,93.3108022540892,0
13,2,MID_RATE,130,8,3,6,1,0.9,0.845452753763895,13.733708855506,22,0.746732626909528,0.190699361766483,NaN,NaN,NaN,0,1,1,1,-0.556033265143045,0.255378370911316,0,0,AERO,AERO_LIMITED,0,1.2,97.8495373042207,0
13,3,HIGH_RATE,250,8,3,6,1,0.9,4.41662752931695,43.3973643505839,52,4.04373127795734,0.710241969332853,NaN,NaN,NaN,0,1,1,1,-3.33348930862448,0.175640249193717,0,0,AERO,AERO_LIMITED,0,1.2,105.383003040726,0
14,1,LOW_RATE,40,25,3,6,1,0.9,0.946258285255291,17.6945124877455,404,0.118486628125344,0.834374941102687,NaN,NaN,NaN,0,1,1,1,0.715888312977343,7.04193337513177,0,0,DELAY,DELAY_LIMITED,0,1.2,93.1498429408095,0
14,2,MID_RATE,130,25,3,6,1,0.9,3.35831692981126,40.5085418958909,50,0.746732626909528,2.5912648710557,NaN,NaN,NaN,0,1,1,1,1.84453224414617,3.47013747314091,0,0,DELAY,DELAY_LIMITED,0,1.2,97.9158601226196,0
14,3,HIGH_RATE,250,25,3,6,1,0.9,11.8168954373185,92.5271774056531,96,4.04373127795734,8.08237355917377,NaN,NaN,NaN,0,1,1,1,4.03864228121643,1.99874150966246,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,1.2,105.814781014422,0
15,1,LOW_RATE,40,8,15,6,1,0.9,0.561995943984984,11.6646094348557,4,0.118486628125344,0.50316515517881,NaN,NaN,NaN,0,1,1,1,0.384678527053466,4.24659865117036,0,0,DELAY,DELAY_LIMITED,0,1.2,92.9846624314721,0
15,2,MID_RATE,130,8,15,6,1,0.9,1.9187150066855,27.4723509077638,26,0.746732626909528,1.40288821495398,NaN,NaN,NaN,0,1,1,1,0.656155588044457,1.87870218120783,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,1.2,97.4950357006026,0
15,3,HIGH_RATE,250,8,15,6,1,0.9,7.78899216468281,69.8196520995278,64,4.04373127795734,4.64551568099639,NaN,NaN,NaN,0,1,1,1,0.601784403039052,1.14881908852832,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,1.2,105.185008293443,0
16,1,LOW_RATE,40,25,15,6,1,0.9,4.32812947933015,60.9918517625802,502,0.118486628125344,4.24556892742554,NaN,NaN,NaN,0,1,1,1,4.1270822993002,35.8316292276818,0,0,DELAY,DELAY_LIMITED,0,1.2,93.1761298538558,0
16,2,MID_RATE,130,25,15,6,1,0.9,8.41894882581872,85.5520404615771,46,0.746732626909528,7.50368817749077,NaN,NaN,NaN,0,1,1,1,6.75695555058124,10.0486946827889,0,0,DELAY,DELAY_LIMITED,0,1.2,98.0332656151581,0
16,3,HIGH_RATE,250,25,15,6,1,0.9,20.8848482062292,139.947094516167,98,4.04373127795734,16.5676722877683,NaN,NaN,NaN,0,1,1,1,12.5239410098109,4.09712494449862,0,0,DELAY,DELAY_LIMITED,0,1.2,105.484902927364,0
17,1,LOW_RATE,40,8,3,1,1.3,0.9,0.128972087679807,2.75334066384057,8,0.128972087679807,0.00492801737477942,NaN,NaN,NaN,0,0,1,0,-0.124044070305027,0.0382099527380993,0,0,UNMATCHED,UNMATCHED,0,2.79999999999997,94.9918701318364,0
17,2,MID_RATE,130,8,3,1,1.3,0.9,0.723233828374187,11.1577447939273,22,0.723233828374187,0.021905680301343,NaN,NaN,NaN,0,0,1,0,-0.701328148072844,0.0302885172705299,0,0,UNMATCHED,UNMATCHED,0,2.79999999999997,99.5089813015108,0
17,3,HIGH_RATE,250,8,3,1,1.3,0.9,3.50491999536907,33.5598196396829,46,3.50491999536907,0.123232135517489,NaN,NaN,NaN,0,0,1,0,-3.38168785985158,0.0351597570501784,0,0,UNMATCHED,UNMATCHED,0,2.79999999999997,107.222345181294,0
18,1,LOW_RATE,40,25,3,1,1.3,0.9,0.80977827046202,15.5494794985147,20,0.128972087679807,0.694490901370678,NaN,NaN,NaN,0,1,1,1,0.565518813690871,5.38481553539599,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,94.8464696583564,0
18,2,MID_RATE,130,25,3,1,1.3,0.9,2.90120041082178,36.042377572171,50,0.723233828374187,2.25976096169069,NaN,NaN,NaN,0,1,1,1,1.53652713331651,3.12452331878693,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,99.6648887826818,0
18,3,HIGH_RATE,250,25,3,1,1.3,0.9,9.45517423133676,78.26791972983,94,3.50491999536907,7.27527803037932,NaN,NaN,NaN,0,1,1,1,3.77035803501025,2.0757329810643,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,2.79999999999997,108.246936548951,0
19,1,LOW_RATE,40,8,15,1,1.3,0.9,0.449141840740709,9.66135660746437,4,0.128972087679807,0.37947105940629,NaN,NaN,NaN,0,1,1,1,0.250498971726483,2.94227275244536,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,94.6820203055425,0
19,2,MID_RATE,130,8,15,1,1.3,0.9,1.56613747049552,23.6579247705764,26,0.723233828374187,1.05997490679536,NaN,NaN,NaN,0,1,1,1,0.336741078421175,1.46560471207239,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,2.79999999999997,99.172796053075,0
19,3,HIGH_RATE,250,8,15,1,1.3,0.9,6.00168707802842,57.0843836823628,58,3.50491999536907,3.72650500877764,NaN,NaN,NaN,0,1,1,1,0.221585013408569,1.06322113306476,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,2.79999999999997,107.245333765028,0
20,1,LOW_RATE,40,25,15,1,1.3,0.9,2.88086236533537,46.9488873775393,486,0.128972087679807,2.94640390252608,NaN,NaN,NaN,0,1,1,1,2.81743181484628,22.845283468164,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,95.1297809730374,0
20,2,MID_RATE,130,25,15,1,1.3,0.9,6.34870890100122,70.1562019129839,46,0.723233828374187,6.00108561727873,NaN,NaN,NaN,0,1,1,1,5.27785178890455,8.29757318012769,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,100.224895308963,0
20,3,HIGH_RATE,250,25,15,1,1.3,0.9,15.1254636775314,114.502310330877,98,3.50491999536907,14.6429115387533,NaN,NaN,NaN,0,1,1,1,11.1379915433842,4.17781620068373,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,108.736985246609,0
21,1,LOW_RATE,40,8,3,6,1.3,0.9,0.153866331328564,3.58797738544713,8,0.128972087679807,0.0593011951296522,NaN,NaN,NaN,0,1,1,1,-0.0696708925501545,0.459798675794693,0,0,AERO,AERO_LIMITED,0,2.79999999999997,94.9467019190603,0
21,2,MID_RATE,130,8,3,6,1.3,0.9,0.813492750541593,13.2379721376122,22,0.723233828374187,0.190699361766483,NaN,NaN,NaN,0,1,1,1,-0.532534466607704,0.26367594308354,0,0,AERO,AERO_LIMITED,0,2.79999999999997,99.4274243719323,0
21,3,HIGH_RATE,250,8,3,6,1.3,0.9,3.8826673094877,38.1811770131267,50,3.50491999536907,0.710241969332853,NaN,NaN,NaN,0,1,1,1,-2.79467802603622,0.202641421279593,0,0,AERO,AERO_LIMITED,0,2.79999999999997,107.191756963392,0
22,1,LOW_RATE,40,25,3,6,1.3,0.9,0.94157282260191,17.5977769670988,404,0.128972087679807,0.834374941102687,NaN,NaN,NaN,0,1,1,1,0.705402853422881,6.46942261781598,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,94.8073571774174,0
22,2,MID_RATE,130,25,3,6,1.3,0.9,3.25688126329458,39.5895295724131,50,0.723233828374187,2.5912648710557,NaN,NaN,NaN,0,1,1,1,1.86803104268151,3.58288670882667,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,99.6695100268467,0
22,3,HIGH_RATE,250,25,3,6,1.3,0.9,10.2589273227036,83.6653648828031,94,3.50491999536907,8.08237355917377,NaN,NaN,NaN,0,1,1,1,4.5774535638047,2.30600800299372,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,2.79999999999997,108.370313224197,0
23,1,LOW_RATE,40,8,15,6,1.3,0.9,0.561836173600363,11.6344429430755,4,0.128972087679807,0.50316515517881,NaN,NaN,NaN,0,1,1,1,0.374193067499004,3.90134923168799,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,94.634986902167,0
23,2,MID_RATE,130,8,15,6,1.3,0.9,1.8460390442588,26.8144486068716,26,0.723233828374187,1.40288821495398,NaN,NaN,NaN,0,1,1,1,0.679654386579797,1.93974363465222,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,2.79999999999997,99.1379987420836,0
23,3,HIGH_RATE,250,8,15,6,1.3,0.9,6.84130840941243,63.3068471210691,60,3.50491999536907,4.64551568099639,NaN,NaN,NaN,0,1,1,1,1.14059568562732,1.32542702462092,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,2.79999999999997,107.294131082094,0
24,1,LOW_RATE,40,25,15,6,1.3,0.9,4.00147749118941,57.6985244565766,502,0.128972087679807,4.24556892742554,NaN,NaN,NaN,0,1,1,1,4.11659683974574,32.9185097628708,0,0,DELAY,DELAY_LIMITED,0,2.79999999999997,95.3881913289725,0
